fighter_id,name,birthdate,aka,associations,class_weight,wins,losses,draws,wins_by_ko_tko,wins_by_submission,wins_by_decision,wins_by_other,losses_by_ko_tko,losses_by_submission,losses_by_decision,losses_by_other,country,city,weight (lbs),sex,height,height (cm)
8f45aaa73e12425c9a1f9cb5c439ad02,Rashad Evans,1979-09-25,Suga,['Kill Cliff FC'],Light Heavyweight,20.0,8.0,0.0,8.0,1.0,11.0,0.0,3.0,0.0,5.0,0.0,United States,"Niagara Falls, New York",205.0,M,5.11,155.75
d29f04bc4afc4ce6b5c2e449a56ccdb4,Michael Bisping,1979-02-28,The Count,['HB Ultimate'],Middleweight,30.0,9.0,0.0,18.0,2.0,10.0,0.0,3.0,2.0,4.0,0.0,England,Manchester,185.0,M,6.2,188.98
f52beeeb7c254407b2dbad0635e22f4a,Thiago Silva,1979-02-28,The Count,['HB Ultimate'],Middleweight,30.0,9.0,0.0,18.0,2.0,10.0,0.0,3.0,2.0,4.0,0.0,England,Manchester,185.0,M,6.2,188.98
0239c9b7b2cd4c7daaa37e08c3ecd11b,Houston Alexander,1972-03-22,The Assassin,"['Grudge Training Center', 'HIT Squad']",Light Heavyweight,17.0,16.0,2.0,14.0,0.0,3.0,0.0,10.0,2.0,4.0,0.0,United States,"Omaha, Nebraska",203.0,M,6.0,182.88
e09bda25d769465f8064a00f47806942,Karo Parisyan,1982-08-28,The Heat,[],Welterweight,24.0,12.0,1.0,3.0,11.0,10.0,0.0,7.0,1.0,4.0,0.0,United States,"North Hollywood, California",169.0,M,5.1,155.45
90bd201ad9c84c7abd4a27bd73791a30,Ryo Chonan,1976-10-08,Piranha,['Tribe Tokyo MMA'],Welterweight,22.0,13.0,0.0,8.0,1.0,13.0,0.0,4.0,1.0,8.0,0.0,Japan,"Tsuruoka, Yamagata",169.0,M,5.9,179.83
51e09cf1a3ff4675acbaa95364bedbcd,Ed Herman,1980-10-02,Short Fuse,['American Top Team Portland'],Light Heavyweight,26.0,16.0,1.0,7.0,14.0,5.0,0.0,4.0,6.0,6.0,0.0,United States,"Portland, Oregon",205.0,M,6.2,188.98
107c5d720e654b9f8001841c1b8791d5,Joe Doerksen,1977-10-09,El Dirte,['Canadian Fighting Centre'],Middleweight,51.0,16.0,0.0,10.0,33.0,8.0,0.0,7.0,4.0,5.0,0.0,Canada,"Winnipeg, Manitoba",186.0,M,6.0,182.88
5e7a86e1acd04907b14d79556ef81db7,Frankie Edgar,1981-10-16,The Answer,['Ricardo Almeida Jiu-Jitsu'],Bantamweight,24.0,11.0,0.0,7.0,4.0,13.0,0.0,5.0,0.0,6.0,0.0,United States,"Toms River, New Jersey",136.0,M,5.6,170.69
201ac2cb36674042afc59e76ed5faa34,Spencer Fisher,1976-05-09,The King,[],Lightweight,24.0,9.0,0.0,10.0,9.0,5.0,0.0,3.0,0.0,6.0,0.0,United States,"Davenport, Iowa",155.0,M,5.7,173.74
18db28cf42f04f11805bb6828368eb1d,Thiago Alves,1983-10-03,Pitbull,['American Top Team'],Welterweight,23.0,15.0,0.0,13.0,1.0,9.0,0.0,3.0,5.0,7.0,0.0,Brazil,"Fortaleza, Ceara",170.0,M,5.1,155.45
8104bef73e334e06bc019f86a93b878a,Chris Lytle,1974-08-18,Lights Out,['Integrated Fighting Academy'],Welterweight,31.0,18.0,0.0,6.0,19.0,6.0,0.0,2.0,0.0,16.0,0.0,United States,"Indianapolis, Indiana",170.0,M,5.11,155.75
21b658d0b92a4b5382ad45c1511b1bd6,Joe Lauzon,1974-08-18,Lights Out,['Integrated Fighting Academy'],Welterweight,31.0,18.0,0.0,6.0,19.0,6.0,0.0,2.0,0.0,16.0,0.0,United States,"Indianapolis, Indiana",170.0,M,5.11,155.75
31e2e97ab1a944da8554ac0fdfd0620d,Jason Reinhardt,1969-10-31,,['Wand Fight Team'],Bantamweight,20.0,3.0,0.0,4.0,16.0,0.0,0.0,1.0,2.0,0.0,0.0,United States,"Decatur, Illinois",135.0,M,5.6,170.69
c2b8dbb9844542ad85dbec6be8528cac,Marcus Aurelio,1973-08-18,Maximus,['Elite Mixed Fighters'],Welterweight,22.0,10.0,0.0,5.0,14.0,3.0,0.0,0.0,0.0,10.0,0.0,Brazil,"Fortaleza, Ceara",170.0,M,5.1,155.45
e14e3498cb644935b0587e88ef78b367,Luke Caudillo,1980-11-30,Lil' Hulk,['Grudge Training Center'],Lightweight,17.0,17.0,0.0,12.0,1.0,4.0,0.0,3.0,10.0,4.0,0.0,United States,"North Platte, Nebraska",155.0,M,5.7,173.74
b52ae2dba6724cddb3f8f3b237816978,Akihiro Gono,1974-10-07,,['Grabaka'],Welterweight,37.0,24.0,0.0,7.0,9.0,20.0,1.0,8.0,4.0,12.0,0.0,Japan,"Higashikurume, Tokyo",161.0,M,5.9,179.83
8cdea9348eef47ecbbe67181c417b87c,Tamdan McCrory,1986-11-05,The Barn Cat,['CNY MMA'],Middleweight,14.0,5.0,0.0,8.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,United States,"Binghamton, New York",185.0,M,6.4,195.07
8545eb804bd043b1b1151df5a8a7701e,Anderson Silva,1975-04-14,The Spider,"['Team Nogueira', 'X-Gym', 'Killer Bees']",Middleweight,34.0,11.0,1.0,23.0,3.0,8.0,0.0,4.0,2.0,4.0,1.0,Brazil,"Curitiba, Parana",185.0,M,6.2,188.98
6be3c3450c294b199f8726b8023d49de,Rich Franklin,1974-10-05,Ace,['Team Extreme'],Middleweight,29.0,7.0,1.0,20.0,5.0,4.0,0.0,5.0,0.0,2.0,0.0,United States,"Cincinnati, Ohio",185.0,M,6.1,185.93
df576b408d164bd7a1a5782d01bf00b6,Tim Sylvia,1974-03-05,The Maine-iac,"['Team Extreme', 'Champions Gym']",Heavyweight,31.0,10.0,1.0,22.0,2.0,7.0,0.0,3.0,4.0,3.0,0.0,United States,"Bettendorf, Iowa",265.0,M,6.8,207.26
630ac12e4eec4f889a4b703bba8e33ae,Brandon Vera,1977-10-10,The Truth,['Alliance MMA'],Heavyweight,16.0,10.0,1.0,11.0,1.0,4.0,0.0,7.0,0.0,3.0,0.0,United States,"San Diego, California",246.0,M,6.2,188.98
1b34ee84d7be4cb99ca254cf554911e2,Alvin Robinson,1982-07-16,Kid,['Grudge Training Center'],Featherweight,15.0,9.0,0.0,0.0,14.0,1.0,0.0,5.0,4.0,0.0,0.0,United States,"Denver, Colorado",145.0,M,5.9,179.83
e121ecd805ea4f96906d22c4cd143b2d,Jorge Gurgel,1977-01-25,J.G.,['Team Jorge Gurgel'],Lightweight,14.0,10.0,0.0,0.0,10.0,4.0,0.0,2.0,2.0,6.0,0.0,United States,"Cincinnati, Ohio",154.0,M,5.9,179.83
e57a5cc0b4214ec292fc1313b409cd1e,Stephan Bonnar,1977-04-04,The American Psycho,"[""One Kick's Gym""]",Light Heavyweight,15.0,9.0,0.0,3.0,7.0,5.0,0.0,3.0,0.0,6.0,0.0,United States,"Hammond, Indiana",205.0,M,6.3,192.02
99ac9c74e7a048969fea5ddfa33d7a47,Eric Schafer,1977-09-20,Red,['Red Schafer MMA'],Middleweight,14.0,8.0,0.0,4.0,8.0,1.0,1.0,4.0,1.0,3.0,0.0,United States,"Milwaukee, Wisconsin",185.0,M,6.3,192.02
b3e09338fea64b87b025ade6b50ff3c0,Alan Belcher,1984-04-24,The Talent,"['Roufusport', 'Remix MMA']",Heavyweight,19.0,9.0,0.0,11.0,5.0,3.0,0.0,3.0,1.0,5.0,0.0,United States,"Biloxi, Mississippi",233.0,M,6.2,188.98
980a6ab06fb543598f3a338208dceafb,Kalib Starnes,1975-01-06,,['Aegis Athletics'],Light Heavyweight,17.0,11.0,0.0,5.0,10.0,2.0,0.0,5.0,1.0,5.0,0.0,Canada,"Surrey, British Columbia",205.0,M,6.3,192.02
a68920323c8d4863959600d2d63ebe05,Yushin Okami,1981-07-21,Thunder,['EXFIGHT'],Middleweight,37.0,15.0,0.0,14.0,3.0,19.0,1.0,7.0,1.0,7.0,0.0,Japan,"Fujisawa, Kanagawa",185.0,M,6.2,188.98
1bca147306df4c3cad9f6792dc84c60a,Jason MacDonald,1975-06-03,The Athlete,"['Pure Fitness', 'Gracie Barra Calgary']",Middleweight,25.0,16.0,0.0,3.0,19.0,3.0,0.0,7.0,4.0,5.0,0.0,Canada,"Edmonton, Alberta",185.0,M,6.2,188.98
5c44bcd2607b40cdaed6003b5c6551e5,Demian Maia,1977-11-06,,['Demian Maia Jiu-Jitsu'],Welterweight,28.0,11.0,0.0,3.0,14.0,11.0,0.0,2.0,0.0,9.0,0.0,Brazil,"Santana de Parnaiba, Sao Paulo",170.0,M,6.0,182.88
bec1b1f7b661421998bcb399cd3229bd,Ryan Jensen,1977-09-20,,['Jackson-Wink MMA'],Middleweight,21.0,8.0,0.0,9.0,12.0,0.0,0.0,3.0,5.0,0.0,0.0,United States,"Omaha, Nebraska",175.0,M,5.1,155.45
5e01d7f4b0254fd2b5b9ac622a76fdff,Joshua Burkman,1980-10-04,The People's Warrior,['The Pit Elevated Fight Team'],Lightweight,28.0,18.0,1.0,7.0,10.0,11.0,0.0,2.0,9.0,7.0,0.0,United States,"Salt Lake City, Utah",155.0,M,5.1,155.45
452d44869eb6472587c2ae121243deee,Forrest Petz,1975-09-22,The Meat Cleaver,['Strong Style Fight Team'],Middleweight,26.0,10.0,0.0,13.0,4.0,9.0,0.0,2.0,4.0,4.0,0.0,United States,"Cleveland, Ohio",185.0,M,5.9,179.83
0175c5ad713147f2993ec54c0e0efb83,Matt Grice,1981-07-29,The Real One,['R-1 MMA'],Featherweight,15.0,5.0,0.0,7.0,3.0,5.0,0.0,2.0,2.0,1.0,0.0,United States,"Harrah, Oklahoma",145.0,M,5.8,176.78
701ee2d096ed422299fd18d40aac60ef,Jason Black,1972-08-15,The Black Legion,['Miletich Martial Arts'],Welterweight,23.0,4.0,0.0,6.0,9.0,4.0,4.0,1.0,2.0,1.0,0.0,United States,"Davenport, Illinois",169.0,M,5.1,155.45
474244cfc40a4494a09a4ace4ab4e621,Keith Jardine,1975-10-31,The Dean of Mean,"['Jackson-Wink MMA', 'Mean1 MMA']",Middleweight,17.0,11.0,0.0,8.0,2.0,7.0,0.0,6.0,0.0,5.0,0.0,United States,"Albuquerque, New Mexico",185.0,M,6.2,188.98
9f611d5cf506466597dcbf1dd85edaaa,Chuck Liddell,1969-12-17,The Iceman,['The Pit'],Light Heavyweight,21.0,9.0,0.0,13.0,1.0,7.0,0.0,7.0,1.0,1.0,0.0,United States,"San Luis Obispo, California",205.0,M,6.2,188.98
e4edd5967cea4421bad1d30a6221fc34,Forrest Griffin,1979-07-01,,"['Xtreme Couture', 'Throwdown']",Light Heavyweight,19.0,7.0,0.0,4.0,6.0,9.0,0.0,5.0,0.0,2.0,0.0,United States,"Athens, Georgia",205.0,M,6.3,192.02
8857e3c8a6b549ccb0e86fbb961c7434,Mauricio Rua,1979-07-01,,"['Xtreme Couture', 'Throwdown']",Light Heavyweight,19.0,7.0,0.0,4.0,6.0,9.0,0.0,5.0,0.0,2.0,0.0,United States,"Athens, Georgia",205.0,M,6.3,192.02
58781d73666241309d676dc46a8ea806,Jon Fitch,1978-02-24,,['American Kickboxing Academy'],Welterweight,32.0,8.0,1.0,7.0,5.0,20.0,0.0,2.0,4.0,2.0,0.0,United States,"Fort Wayne, Indiana",170.0,M,6.0,182.88
470ad9c6337149bcbbd29680286de1e9,Diego Sanchez,1981-12-31,The Nightmare,['Jackson-Wink MMA'],Welterweight,30.0,14.0,0.0,10.0,6.0,13.0,1.0,4.0,0.0,10.0,0.0,United States,"Albuquerque, New Mexico",170.0,M,5.1,155.45
11625f113ae6458a9e9f778f5a4b10f3,Lyoto Machida,1978-05-30,The Dragon,"['APAM', 'Team Machida']",Middleweight,26.0,12.0,0.0,11.0,2.0,13.0,0.0,4.0,2.0,6.0,0.0,Brazil,"Belem, Para",185.0,M,6.1,185.93
f1614e6630ef42e09b671d416d8a3011,Kazuhiro Nakamura,1979-07-16,King Kaz,"['Yoshida Dojo', 'Team Kaz']",Middleweight,21.0,13.0,0.0,5.0,3.0,13.0,0.0,4.0,3.0,6.0,0.0,Japan,"Fukuyama, Hiroshima",185.0,M,5.11,155.75
8deaa604216d4393b44dea8fc5a87217,Tyson Griffin,1984-04-20,,['American Kickboxing Academy'],Lightweight,17.0,8.0,0.0,6.0,3.0,8.0,0.0,3.0,0.0,5.0,0.0,United States,"Santa Rosa, California",155.0,M,5.6,170.69
5f8cd6723b114127849f37708081fc25,Thiago Tavares,1984-11-08,,['Team Tavares'],Featherweight,24.0,11.0,0.0,4.0,15.0,5.0,0.0,8.0,0.0,3.0,0.0,Brazil,"Florianopolis, Santa Catarina",145.0,M,5.7,173.74
00cc60eb29da4bebab3c3ad2592c70ce,Rich Clementi,1976-03-31,No Love,['Team Voodoo'],Lightweight,45.0,23.0,0.0,13.0,23.0,9.0,0.0,5.0,8.0,10.0,0.0,United States,"Slidell, Lousiana",155.0,M,5.9,179.83
a265feded9c041b2acbf0a7e24a8038c,Anthony Johnson,1984-03-06,Rumble,['Kill Cliff FC'],Light Heavyweight,23.0,6.0,0.0,17.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,United States,"Boca Raton, Florida",205.0,M,6.2,188.98
0a035a33f27049f68f9d6c7a4724bda4,Jeremy Stephens,1986-05-26,Lil Heathen,['Alliance MMA'],Lightweight,29.0,21.0,1.0,19.0,2.0,8.0,0.0,3.0,5.0,13.0,0.0,United States,"Des Moines, Iowa",155.0,M,5.9,179.83
5bc4bb7a613247a796340b5b5bd393eb,Diego Saraiva,1982-04-23,The Octopus,['Team Octopus'],Lightweight,22.0,20.0,0.0,4.0,14.0,4.0,0.0,5.0,0.0,15.0,0.0,United States,"Atlanta, Georgia",149.0,M,5.6,170.69
9d3e69e2a2a248779c458f698907e07c,Christian Wellisch,1975-09-13,,['American Kickboxing Academy'],Heavyweight,8.0,5.0,0.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,United States,"Los Angeles, California",234.0,M,6.2,188.98
f46bd9c8c6c04cef97705b89f497b954,Scott Junk,1978-12-17,Punk Haole,['MMA Development'],Heavyweight,8.0,3.0,1.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,United States,"Kailua, Hawaii",265.0,M,6.1,185.93
04fad24a72924f28973689ec6867641f,Matt Wiman,1983-09-19,Handsome,['Skrap Pack'],Lightweight,16.0,10.0,0.0,4.0,5.0,7.0,0.0,4.0,0.0,6.0,0.0,United States,"Tulsa, Oklahoma",155.0,M,5.1,155.45
058d377d569c4c248a7f22827c05326d,Michihiro Omigawa,1975-12-19,Michi,['Neo Judo Academy'],Featherweight,19.0,15.0,0.0,5.0,5.0,9.0,0.0,2.0,1.0,12.0,0.0,Japan,Ibaraki,145.0,M,5.6,170.69
dc34d1bcafe64242921fe5be99eefcab,Kenny Florian,1976-05-26,KenFlo,['Florian Martial Arts Center'],Featherweight,14.0,6.0,0.0,4.0,8.0,2.0,0.0,1.0,1.0,4.0,0.0,United States,"Westwood, Massachusetts",145.0,M,5.1,155.45
182f8b7307b64f7bb20d6756712bffa1,Din Thomas,1976-09-28,Dinyero,['American Top Team'],Featherweight,26.0,9.0,1.0,7.0,15.0,4.0,0.0,2.0,2.0,5.0,0.0,United States,"Orlando, Florida",143.0,M,5.9,179.83
5f2c931317bf4536ada1f9ca11a15073,Chris Leben,1976-09-28,Dinyero,['American Top Team'],Featherweight,26.0,9.0,1.0,7.0,15.0,4.0,0.0,2.0,2.0,5.0,0.0,United States,"Orlando, Florida",143.0,M,5.9,179.83
