fight_id,event_id,left_fighter_id,left_fighter_name,right_fighter_id,right_fighter_name,winner,winner_name,is_main_event,match,round,time,method,weight_class,referee_id,referee_name
2bb0e0a699ed48a5877c8a7419fac930,f7be24574c4e4684ba417f0f7a6e6d73,8f45aaa73e12425c9a1f9cb5c439ad02,Rashad Evans,d29f04bc4afc4ce6b5c2e449a56ccdb4,Michael Bisping,L,Rashad Evans,True,9,3,00:5:00,Decision (Split),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
e300cc5f815c40e3904ebdeed590c65c,f7be24574c4e4684ba417f0f7a6e6d73,f52beeeb7c254407b2dbad0635e22f4a,Thiago Silva,0239c9b7b2cd4c7daaa37e08c3ecd11b,Houston Alexander,L,Thiago Silva,False,8,1,00:3:25,TKO (Punches),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
d9a50352e1c645c59b005b7a06a77f56,f7be24574c4e4684ba417f0f7a6e6d73,e09bda25d769465f8064a00f47806942,Karo Parisyan,90bd201ad9c84c7abd4a27bd73791a30,Ryo Chonan,L,Karo Parisyan,False,7,3,00:5:00,Decision (Unanimous),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
9fb7691dc0e64ff6a84e36e07f58a484,f7be24574c4e4684ba417f0f7a6e6d73,51e09cf1a3ff4675acbaa95364bedbcd,Ed Herman,107c5d720e654b9f8001841c1b8791d5,Joe Doerksen,L,Ed Herman,False,6,3,00:0:39,KO (Punch),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
6564dbe3bc16402aaa90f62d7b8a734e,f7be24574c4e4684ba417f0f7a6e6d73,5e7a86e1acd04907b14d79556ef81db7,Frankie Edgar,201ac2cb36674042afc59e76ed5faa34,Spencer Fisher,L,Frankie Edgar,False,5,3,00:5:00,Decision (Unanimous),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
c36f052834a54fd590becf6cc221fbba,f7be24574c4e4684ba417f0f7a6e6d73,18db28cf42f04f11805bb6828368eb1d,Thiago Alves,8104bef73e334e06bc019f86a93b878a,Chris Lytle,L,Thiago Alves,False,4,2,00:5:00,TKO (Doctor Stoppage),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
1ac7c0c0b3c342188fbea5a2d23036c7,f7be24574c4e4684ba417f0f7a6e6d73,21b658d0b92a4b5382ad45c1511b1bd6,Joe Lauzon,31e2e97ab1a944da8554ac0fdfd0620d,Jason Reinhardt,L,Joe Lauzon,False,3,1,00:1:14,Submission (Rear-Naked Choke),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
3a6790ffe2c4494fbf44981babaa241f,f7be24574c4e4684ba417f0f7a6e6d73,c2b8dbb9844542ad85dbec6be8528cac,Marcus Aurelio,e14e3498cb644935b0587e88ef78b367,Luke Caudillo,L,Marcus Aurelio,False,2,1,00:4:29,TKO (Punches),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
666eb4c3131d495daf690cb360cc27a5,f7be24574c4e4684ba417f0f7a6e6d73,b52ae2dba6724cddb3f8f3b237816978,Akihiro Gono,8cdea9348eef47ecbbe67181c417b87c,Tamdan McCrory,L,Akihiro Gono,False,1,2,00:3:19,Submission (Armbar),,dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta
cf778dc8e99240f199aa28795c5e2226,2b92e66ec5884d8f95af26898b33bf69,8545eb804bd043b1b1151df5a8a7701e,Anderson Silva,6be3c3450c294b199f8726b8023d49de,Rich Franklin,L,Anderson Silva,True,9,2,00:1:07,TKO (Knees),Middleweight,d832390876974a9696cb13c6acbb4e3f,John McCarthy
711ac51beb3041e8928c7dcd9af50403,2b92e66ec5884d8f95af26898b33bf69,df576b408d164bd7a1a5782d01bf00b6,Tim Sylvia,630ac12e4eec4f889a4b703bba8e33ae,Brandon Vera,L,Tim Sylvia,False,8,3,00:5:00,Decision (Unanimous),,d832390876974a9696cb13c6acbb4e3f,John McCarthy
f31f6f125a0b4ac197d41896965b4982,2b92e66ec5884d8f95af26898b33bf69,1b34ee84d7be4cb99ca254cf554911e2,Alvin Robinson,e121ecd805ea4f96906d22c4cd143b2d,Jorge Gurgel,L,Alvin Robinson,False,7,3,00:5:00,Decision (Unanimous),,d832390876974a9696cb13c6acbb4e3f,John McCarthy
