referee_id,name,birthdate,aka,n_fights,ko_tko,submission,decision,draws,no_contests,disqualifications,country,city
dd8063d2ed214bea9b1bf4fbd2ec04da,Dan Miragliotta,,nan,874,326,173,360,5,7,3,,
d832390876974a9696cb13c6acbb4e3f,John McCarthy,1962-10-12,Big,984,347,285,327,9,15,1,United States,"Los Angeles, California"
87f7c1aae00541559789346b84f01c51,Mario Yamasaki,,nan,463,157,117,180,5,1,3,,
1cb76a06cad6436187364e5a3b68fd3c,Herb Dean,1970-09-30,nan,1972,683,477,770,11,23,7,United States,"Pasadena, California"
8a9d8394afb14f0bbd6d7ec011d3502f,Steve Mazzagatti,,nan,474,150,138,179,2,3,2,,
46597a116f83499faf88128a4cf8c1fc,Troy Waugh,,nan,120,36,45,36,3,0,0,United States,
591cd0db5b2e4b3f93090d796f9e0001,Helio Vigio,,nan,4,1,3,0,0,0,0,Brazil,
1ed882cb720d445c942fd72b890ef47a,Keith Peterson,,No Nonsense,726,226,146,338,6,7,3,United States,
945756c8959348b5a41392ab059ad456,Steve Perceval,,No Nonsense,726,226,146,338,6,7,3,United States,
afbdfd8671f148478b126195e17703c6,Mark Craig,,nan,21,7,2,12,0,0,0,,
90208344b9524cfabc9ad70da81bd2f1,Jason Herzog,,nan,942,298,225,395,6,12,6,,
db914e084bae4d0cb59e470b8a828cf0,Marc Goddard,,nan,1023,347,233,424,10,7,2,,
1f4f2db2ae7e420b807fe03d8427f9bf,Mark Smith,,nan,732,247,137,332,4,6,6,,
73dee8bafcc248f69ce38b795328613e,Vitor Ribeiro,,nan,75,18,12,42,2,1,0,,
638b9604d20749d686295a848f0bbce4,Kevin Sataki,,nan,92,41,14,37,0,0,0,,
47c13ff1395e46598e2610f0237c18b1,Thomas Fan,,nan,95,24,33,33,4,1,0,,
25804ba1cc3048fd8ee25dfdb24d345f,Daniel Movahedi,,nan,355,132,88,127,1,5,2,,
c7c14fa518d444f28ab49558854f9562,Chris Tognoni,,nan,738,217,170,330,4,15,2,,
0f9c0442930b4f2a952448d90cacaf42,Mike Beltran,,nan,738,217,170,330,4,15,2,,
154cadd2c78e446da3ba281d55370f0b,Lukasz Bosacki,,nan,555,183,136,221,4,3,3,Poland,
fe2cd2eaaaa24816a6a187d960e81289,Kevin MacDonald,,nan,385,117,97,166,0,4,1,,
ee5cbdefffb34f83bab6bfa5f95ed086,Jerin Valel,,nan,167,44,37,82,2,1,1,,
db71ee36714c4450826120cb4b98ea05,Leon Roberts,,nan,341,117,63,157,2,1,1,,
fe6b83e0824d45aaa2986de6676759d6,Blake Grice,,nan,198,67,32,94,1,2,2,,
54dde7188ad74c1e8eaeb9f9a042e8f3,Yves Lavigne,,nan,307,89,79,138,1,0,0,,
6749eb91d48f4cd39d3ad39c2147c02b,Osiris Maia,,nan,172,58,40,68,5,1,0,Brazil,
7b6dc7432b554a9d8c2b5fd04f275e54,Todd Anderson,,nan,182,56,44,80,1,1,0,,
35b7e94f570d43889da9f96b1566c1c6,Rob Madrigal,,nan,206,63,59,78,1,4,1,United States,
ae7b4084e279480ba2cfa99795bf5023,John Sharp,,nan,109,30,31,46,0,1,1,,
9fd65a76831e4c1d86d71257ab9ee314,Josh Rosenthal,,nan,504,173,152,165,3,6,4,,
b17e52e55b214b4b940ad4368ee884d7,Kevin Mulhall,,nan,136,37,34,57,4,3,0,United States,
