name,class_weight,wins,wins_by_ko_tko,wins_by_submission,wins_by_decision
Rin Nakai,Bantamweight,27.0,9.0,12.0,6.0
Cristiane Justino,Featherweight,27.0,21.0,1.0,5.0
Jessica Andrade,Strawweight,26.0,10.0,8.0,8.0
Seo Hee Ham,Strawweight,26.0,4.0,3.0,19.0
Roxanne Modafferi,Flyweight,25.0,4.0,5.0,16.0
Weili Zhang,Strawweight,25.0,11.0,8.0,6.0
Casey O'Neill,Bantamweight,24.0,8.0,10.0,6.0
Valentina Shevchenko,Flyweight,23.0,8.0,7.0,8.0
Amanda Nunes,Bantamweight,23.0,13.0,4.0,6.0
Larissa Pacheco,Featherweight,23.0,11.0,8.0,4.0
Sarah Kaufman,Bantamweight,22.0,11.0,2.0,9.0
Alexis Davis,Bantamweight,21.0,2.0,8.0,11.0
Liz Carmouche,Flyweight,21.0,9.0,5.0,7.0
Jennifer Maia,Flyweight,21.0,4.0,5.0,12.0
Taila Santos,Flyweight,20.0,10.0,4.0,6.0
Virna Jandiroba,Strawweight,20.0,1.0,13.0,6.0
Jessica Aguilar,Strawweight,20.0,2.0,8.0,10.0
Miesha Tate,Bantamweight,20.0,4.0,8.0,8.0
Tonya Evinger,Bantamweight,19.0,8.0,7.0,4.0
Na Liang,Flyweight,19.0,7.0,10.0,0.0
Kalindra Faria,Strawweight,19.0,7.0,6.0,6.0
Carla Esparza,Strawweight,19.0,4.0,4.0,11.0
Katlyn Cerminara,Flyweight,18.0,2.0,1.0,15.0
Michelle Waterson-Gomez,Strawweight,18.0,3.0,9.0,6.0
Xiaonan Yan,Strawweight,18.0,8.0,1.0,9.0
Claudia Gadelha,Strawweight,18.0,2.0,7.0,9.0
Karine Silva,Flyweight,18.0,9.0,8.0,1.0
Marina Rodriguez,Strawweight,17.0,7.0,1.0,9.0
Angela Hill,Strawweight,17.0,5.0,1.0,11.0
Karol Rosa,Bantamweight,17.0,4.0,2.0,11.0
Joanne Wood,Flyweight,17.0,5.0,1.0,11.0
Cindy Dandois,Bantamweight,17.0,5.0,9.0,2.0
Tatiana Suarez,Featherweight,17.0,7.0,3.0,7.0
Ariane Lipski,Flyweight,17.0,6.0,4.0,7.0
Kayla Harrison,Bantamweight,17.0,6.0,7.0,4.0
Natalia Silva,Flyweight,17.0,5.0,7.0,4.0
Pannie Kianzad,Bantamweight,16.0,3.0,0.0,13.0
Joanna Jedrzejczyk,Strawweight,16.0,4.0,1.0,11.0
Lauren Murphy,Flyweight,16.0,8.0,1.0,7.0
Yanan Wu,Middleweight,16.0,6.0,8.0,2.0
Alexa Grasso,Flyweight,16.0,4.0,2.0,10.0
Raquel Pennington,Bantamweight,16.0,1.0,4.0,11.0
Viviane Pereira,Flyweight,16.0,4.0,3.0,9.0
Karolina Kowalkiewicz,Strawweight,16.0,1.0,3.0,12.0
Iasmin Lucindo,Strawweight,16.0,8.0,3.0,5.0
Julie Kedzie,Bantamweight,16.0,3.0,3.0,10.0
Aisling Daly,Strawweight,16.0,5.0,8.0,3.0
Jessica Eye,Flyweight,15.0,3.0,1.0,11.0
Lisa Ellis,Strawweight,15.0,0.0,11.0,4.0
Holly Holm,Bantamweight,15.0,8.0,0.0,7.0
Ming Shi,Strawweight,15.0,1.0,6.0,8.0
Irene Aldana,Bantamweight,15.0,8.0,3.0,4.0
Ariane Carnelossi,Strawweight,15.0,9.0,2.0,3.0
Diana Belbita,Strawweight,15.0,6.0,4.0,5.0
Shayna Baszler,Lightweight,15.0,1.0,13.0,1.0
Mizuki Inoue,Strawweight,15.0,0.0,9.0,6.0
Sara McMann,Featherweight,14.0,1.0,5.0,8.0
Rayanne dos Santos,Strawweight,14.0,2.0,8.0,4.0
Maycee Barber,Flyweight,14.0,6.0,2.0,6.0
Cat Zingano,Featherweight,14.0,5.0,4.0,5.0
Ketlen Vieira,Bantamweight,14.0,2.0,4.0,8.0
Elise Reed,Bantamweight,14.0,8.0,6.0,0.0
Ketlen Souza,Strawweight,14.0,8.0,1.0,5.0
Yana Santos,Featherweight,14.0,7.0,1.0,6.0
Felice Herrig,Strawweight,14.0,1.0,4.0,9.0
Livinha Souza,Strawweight,14.0,2.0,8.0,4.0
Elizabeth Phillips,Middleweight,14.0,10.0,2.0,2.0
Molly McCann,Strawweight,14.0,6.0,1.0,7.0
Jessica Penne,Strawweight,14.0,2.0,8.0,4.0
Amanda Lemos,Strawweight,14.0,8.0,3.0,3.0
Lucie Pudilova,Bantamweight,14.0,3.0,2.0,9.0
Emily Ducote,Strawweight,13.0,3.0,4.0,6.0
Mackenzie Dern,Strawweight,13.0,0.0,7.0,6.0
J.J. Aldrich,Flyweight,13.0,3.0,0.0,10.0
Miranda Maverick,Flyweight,13.0,1.0,7.0,5.0
Polyana Viana,Strawweight,13.0,5.0,8.0,0.0
DeAnna Bennett,Bantamweight,13.0,2.0,2.0,9.0
Tecia Pennington,Strawweight,13.0,1.0,1.0,11.0
Maria Oliveira,Strawweight,13.0,7.0,1.0,5.0
Rosi Sexton,Flyweight,13.0,2.0,7.0,4.0
Joselyne Edwards,Bantamweight,13.0,5.0,3.0,5.0
Andrea Lee,Flyweight,13.0,3.0,5.0,5.0
Aspen Ladd,Featherweight,12.0,6.0,2.0,4.0
Mara Romero Borella,Flyweight,12.0,3.0,4.0,5.0
Montana De La Rosa,Flyweight,12.0,1.0,8.0,3.0
Kanako Murata,Strawweight,12.0,2.0,4.0,6.0
Julia Polastri,Strawweight,12.0,4.0,3.0,5.0
Viviane Araujo,Flyweight,12.0,3.0,4.0,5.0
Priscila Cachoeira,Bantamweight,12.0,7.0,0.0,5.0
Amanda Ribas,Flyweight,12.0,3.0,4.0,5.0
Rose Namajunas,Flyweight,12.0,2.0,5.0,5.0
Lupita Godinez,Strawweight,12.0,1.0,2.0,9.0
Leslie Smith,Featherweight,12.0,5.0,0.0,7.0
Erin Blanchfield,Flyweight,12.0,2.0,4.0,6.0
Manon Fiorot,Flyweight,12.0,6.0,0.0,6.0
Ronda Rousey,Bantamweight,12.0,3.0,9.0,0.0
Milana Dudieva,Flyweight,12.0,4.0,6.0,2.0
Jessica-Rose Clark,Bantamweight,11.0,3.0,2.0,6.0
Maryna Moroz,Flyweight,11.0,1.0,6.0,4.0
Julija Stoliarenko,Flyweight,11.0,0.0,10.0,1.0
Yazmin Jauregui,Strawweight,11.0,7.0,0.0,4.0
Julianna Pena,Bantamweight,11.0,3.0,5.0,3.0
Pearl Gonzalez,Flyweight,11.0,1.0,6.0,4.0
Angela Magana,Strawweight,11.0,2.0,6.0,3.0
Nina Nunes,Flyweight,11.0,4.0,2.0,5.0
Vanessa Demopoulos,Strawweight,11.0,1.0,4.0,6.0
Tracy Cortez,Flyweight,11.0,1.0,1.0,9.0
Bethe Correia,Bantamweight,11.0,2.0,0.0,9.0
Norma Dumont,Bantamweight,11.0,0.0,2.0,9.0
Sarah Frota,Strawweight,11.0,3.0,6.0,2.0
Jinh Yu Frey,Strawweight,11.0,1.0,2.0,8.0
Vanessa Melo,Lightweight,11.0,0.0,2.0,9.0
Megan Anderson,Featherweight,11.0,6.0,3.0,2.0
Silvana Gomez Juarez,Strawweight,11.0,7.0,2.0,2.0
Randa Markos,Strawweight,11.0,0.0,4.0,7.0
Luana Pinheiro,Strawweight,11.0,2.0,5.0,3.0
Danielle Taylor,Strawweight,11.0,3.0,1.0,7.0
Poliana Botelho,Light Heavyweight,10.0,6.0,2.0,2.0
Hannah Cifers,Strawweight,10.0,5.0,0.0,5.0
Cortney Casey,Flyweight,10.0,3.0,4.0,3.0
Antonina Shevchenko,Flyweight,10.0,3.0,1.0,6.0
Talita Bernardo,Bantamweight,10.0,0.0,6.0,4.0
